team,team_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Baltimore Orioles,110,4387,14.7,35.3,121.1,89.9,93.8,87.1,471,175,401,1812,15.8,41.3,412,9.4,6.6
Minnesota Twins,142,4214,13.6,33.7,118.3,89.7,93.7,86.6,456,174,400,1767,15.4,41.9,392,9.3,6.4
Washington Nationals,120,4104,13.3,33.7,116,89,93.4,85.6,475,172,401,1630,14.8,39.7,381,9.3,6.3
Kansas City Royals,118,4128,12.6,35.4,122.2,89.5,93.6,86.8,485,170,409,1686,15.2,40.8,373,9,6.1
Detroit Tigers,116,4250,12.3,31.8,118.8,89.6,93.6,87.2,473,164,402,1736,15.5,40.8,369,8.7,6
Cleveland Guardians,114,3993,12.4,34.2,120.1,89.2,93.8,85.9,475,169,402,1611,14.5,40.3,353,8.8,5.9
Seattle Mariners,136,4221,14.2,33.9,116.5,89.5,93.5,86.7,465,172,397,1679,14.4,39.8,354,8.4,5.8
Arizona Diamondbacks,109,4400,14.2,34.4,114.9,89.1,93,86.1,483,177,405,1735,15.5,39.4,360,8.2,5.7
Tampa Bay Rays,139,4029,13.6,33.7,118.6,88.5,92.8,85.5,461,169,400,1500,13.1,37.2,341,8.5,5.7
San Diego Padres,135,3935,12.5,34.6,115.3,88.9,93.1,85.6,456,171,400,1539,13.7,39.1,338,8.6,5.6
Toronto Blue Jays,141,3900,12.6,32.8,120.2,88.9,93.3,86.2,463,166,399,1535,13.8,39.4,330,8.5,5.6
Oakland Athletics,133,4222,14.6,34.2,116.2,88.9,92.9,86,472,172,399,1610,14.5,38.1,335,7.9,5.5
Texas Rangers,140,4287,13,34,118.5,89.3,93.1,86.5,472,171,400,1683,15.1,39.3,337,7.9,5.5
Pittsburgh Pirates,134,4144,13.6,34.7,117.9,88.8,93.4,85,470,174,401,1586,14.1,38.3,336,8.1,5.5
Chicago Cubs,112,4146,10.9,34,117.1,88.6,92.9,85.4,481,163,402,1632,15,39.4,336,8.1,5.4
New York Mets,121,3782,12.3,33.6,117.9,88.8,93.3,85.1,451,169,404,1462,13.6,38.7,303,8,5.2
Atlanta Braves,144,3943,11.1,32.4,119.2,89,92.8,86.4,470,165,404,1524,13.8,38.7,307,7.8,5.2
Miami Marlins,146,4028,10.8,32.5,117.2,88.3,92.9,85,469,162,405,1523,13.8,37.8,303,7.5,5
New York Yankees,147,3880,13.8,32.6,117.2,87.8,92.4,84.6,472,167,393,1411,12.3,36.4,299,7.7,5
Boston Red Sox,111,3995,11.8,34.2,118.4,88.6,92.8,86,495,162,397,1580,13.8,39.5,305,7.6,5
Colorado Rockies,115,4172,11.2,33.1,116,88.8,92.9,85.7,486,166,407,1581,14.9,37.9,297,7.1,4.9
Chicago White Sox,145,3732,14,33.3,117.4,88.8,92.8,86.1,453,169,395,1436,12.6,38.5,286,7.7,4.9
Los Angeles Angels,108,4073,11.5,33.1,116.4,88.1,92.7,84.9,457,163,403,1544,13.7,37.9,301,7.4,4.9
St. Louis Cardinals,138,4128,11.9,33.4,117.1,88.6,92.7,85.7,461,165,403,1551,14.7,37.6,291,7,4.8
Houston Astros,117,3985,11.7,32.3,119.6,88.8,93,86.1,464,160,394,1511,13.8,37.9,291,7.3,4.8
Cincinnati Reds,113,3992,11.7,32.2,118.2,88,92.1,85.1,478,162,398,1491,13.4,37.3,283,7.1,4.6
Philadelphia Phillies,143,3991,11.6,31.6,119.6,87.7,92.2,84.9,474,157,400,1472,12.9,36.9,275,6.9,4.5
San Francisco Giants,137,4095,10.8,31.5,115.7,88.6,92.5,86.1,466,159,403,1588,14.2,38.8,262,6.4,4.4
Milwaukee Brewers,158,3756,11.5,32.7,115.9,87.7,92,84.4,466,162,404,1355,12.2,36.1,252,6.7,4.2
Los Angeles Dodgers,119,3795,12.4,30.8,118.4,87.2,92.4,83.8,467,160,397,1317,11.9,34.7,238,6.3,4
